"subj" "expt" "item" "cond" "pos" "word" "region" "rt" "dist.SR" "dist.OR" "RCType" "dist" "int" "lrt"
"2796" 11 "RC1" 9 "c" "5" "काटा_था," "RCVerb" 875 0 1 1 1 1 6.77422388635761
"2840" 11 "RC1" 19 "a" "4" "फेकीं_थीं," "RCVerb" 1109 1 0 -1 1 -1 7.01121398735037
"2855" 11 "RC1" 18 "d" "3" "खरीदा_था" "RCVerb" 1140 0 -1 1 -1 -1 7.03878354138854
"2900" 11 "RC1" 22 "d" "3" "पकड़ा_था" "RCVerb" 2063 0 -1 1 -1 -1 7.63191651307125
"3061" 11 "RC1" 2 "d" "3" "खाया_था" "RCVerb" 797 0 -1 1 -1 -1 6.68085467879022
"3118" 11 "RC1" 10 "d" "3" "मांगा_था" "RCVerb" 891 0 -1 1 -1 -1 6.79234442747081
"3144" 11 "RC1" 7 "a" "4" "साफ_की_थी," "RCVerb" 578 1 0 -1 1 -1 6.35957386867238
"3222" 11 "RC1" 24 "b" "4" "बेचीं_थीं" "RCVerb" 3109 -1 0 -1 -1 1 8.04205641005875
"3249" 11 "RC1" 14 "d" "3" "खरीदा_था" "RCVerb" 719 0 -1 1 -1 -1 6.57786135772105
"3276" 11 "RC1" 6 "d" "3" "गाया_था" "RCVerb" 1500 0 -1 1 -1 -1 7.3132203870903
"3348" 11 "RC1" 3 "a" "4" "चुनी_थीं," "RCVerb" 609 1 0 -1 1 -1 6.4118182677099
"3380" 11 "RC1" 21 "c" "5" "उठाया_था," "RCVerb" 1125 0 1 1 1 1 7.02553831463852
"3489" 11 "RC1" 5 "c" "4" "खरीदा_था," "RCVerb" 1046 0 1 1 1 1 6.95272864462487
"3508" 11 "RC1" 12 "b" "5" "दिखायी_थी" "RCVerb" 781 -1 0 -1 -1 1 6.66057514983969
"3537" 11 "RC1" 13 "c" "4" "सुलझाया_था," "RCVerb" 718 0 1 1 1 1 6.57646956904822
"3653" 11 "RC1" 16 "b" "4" "खोली_थी" "RCVerb" 3515 -1 0 -1 -1 1 8.16479480424477
"3669" 11 "RC1" 8 "b" "3" "रखी_थी" "RCVerb" 3781 -1 0 -1 -1 1 8.23774380389093
"3703" 11 "RC1" 1 "c" "4" "पढ़ा_था," "RCVerb" 812 0 1 1 1 1 6.69950034016168
"3744" 11 "RC1" 15 "a" "4" "खरीदी_थी," "RCVerb" 531 1 0 -1 1 -1 6.27476202124194
"3759" 11 "RC1" 4 "b" "3" "खायी_थी" "RCVerb" 1844 -1 0 -1 -1 1 7.51969240411654
"3907" 12 "RC1" 8 "c" "4" "रखा_था," "RCVerb" 1187 0 1 1 1 1 7.07918439460967
"3935" 12 "RC1" 1 "d" "3" "पढ़ा_था" "RCVerb" 1703 0 -1 1 -1 -1 7.44014668066269
"3966" 12 "RC1" 18 "a" "4" "खरीदी_थी," "RCVerb" 1187 1 0 -1 1 -1 7.07918439460967
"3998" 12 "RC1" 24 "c" "5" "बेचा_था," "RCVerb" 4000 0 1 1 1 1 8.29404964010203
"4038" 12 "RC1" 20 "c" "4" "बनाया_था," "RCVerb" 640 0 1 1 1 1 6.46146817635372
"4073" 12 "RC1" 21 "d" "4" "उठाया_था" "RCVerb" 1547 0 -1 1 -1 -1 7.34407285057307
"4131" 12 "RC1" 17 "d" "3" "पहना_हुआ_था" "RCVerb" 1047 0 -1 1 -1 -1 6.95368421087054
"4241" 12 "RC1" 12 "c" "6" "दिखाया_था," "RCVerb" 2703 0 1 1 1 1 7.90211754627645
"4257" 12 "RC1" 3 "b" "3" "चुनी_थीं" "RCVerb" 2422 -1 0 -1 -1 1 7.79234892411304
"4352" 12 "RC1" 10 "a" "4" "मांगी_थी," "RCVerb" 891 1 0 -1 1 -1 6.79234442747081
"4462" 12 "RC1" 7 "b" "3" "साफ_की_थी" "RCVerb" 719 -1 0 -1 -1 1 6.57786135772105
"4503" 12 "RC1" 13 "d" "3" "सुलझाया_था" "RCVerb" 2031 0 -1 1 -1 -1 7.61628356158038
"4520" 12 "RC1" 23 "b" "3" "उठा_ली_थी" "RCVerb" 2094 -1 0 -1 -1 1 7.64683139143048
"4539" 12 "RC1" 4 "c" "4" "खाया_था," "RCVerb" 594 0 1 1 1 1 6.38687931936265
"4590" 12 "RC1" 5 "d" "3" "खरीदा_था" "RCVerb" 594 0 -1 1 -1 -1 6.38687931936265
"4622" 12 "RC1" 6 "a" "4" "गायी_थी," "RCVerb" 750 1 0 -1 1 -1 6.62007320653036
"4734" 12 "RC1" 19 "b" "3" "फेकीं_थीं" "RCVerb" 2078 -1 0 -1 -1 1 7.63916117165917
