"subj" "expt" "item" "cond" "pos" "word" "region" "rt" "dist.SR" "dist.OR" "RCType" "dist" "int" "lrt"
"11452" 18 "RC1" 24 "a" "5" "बेचीं_थीं," "RCVerb" 718 1 0 -1 1 -1 6.57646956904822
"11491" 18 "RC1" 4 "a" "4" "खायी_थी," "RCVerb" 625 1 0 -1 1 -1 6.4377516497364
"11514" 18 "RC1" 22 "c" "4" "पकड़ा_था," "RCVerb" 703 0 1 1 1 1 6.55535689181067
"11542" 18 "RC1" 18 "c" "4" "खरीदा_था," "RCVerb" 688 0 1 1 1 1 6.53378883793334
"11562" 18 "RC1" 17 "b" "3" "पहनी_हुई_थी" "RCVerb" 1906 -1 0 -1 -1 1 7.55276208421415
"11630" 18 "RC1" 10 "c" "4" "मांगा_था," "RCVerb" 750 0 1 1 1 1 6.62007320653036
"11688" 18 "RC1" 16 "a" "5" "खोली_थी," "RCVerb" 891 1 0 -1 1 -1 6.79234442747081
"11720" 18 "RC1" 21 "b" "4" "उठायीं_थीं" "RCVerb" 1891 -1 0 -1 -1 1 7.54486106865846
"11748" 18 "RC1" 13 "b" "3" "सुलझाई_थी" "RCVerb" 1516 -1 0 -1 -1 1 7.32383056620232
"11779" 18 "RC1" 1 "b" "3" "पढ़ी_थी" "RCVerb" 1266 -1 0 -1 -1 1 7.14361760270412
"11865" 18 "RC1" 12 "a" "6" "दिखायी_थी," "RCVerb" 656 1 0 -1 1 -1 6.48616078894409
"11893" 18 "RC1" 19 "d" "3" "फेका_था" "RCVerb" 687 0 -1 1 -1 -1 6.53233429222235
"11957" 18 "RC1" 23 "d" "3" "उठा_लिया_था" "RCVerb" 1282 0 -1 1 -1 -1 7.15617663748062
"11976" 18 "RC1" 11 "d" "3" "बनाया_था" "RCVerb" 1094 0 -1 1 -1 -1 6.99759598298193
"12166" 18 "RC1" 7 "d" "3" "साफ_किया_था" "RCVerb" 735 0 -1 1 -1 -1 6.59987049921284
"12201" 18 "RC1" 8 "a" "4" "रखी_थी," "RCVerb" 938 1 0 -1 1 -1 6.84374994900622
"12219" 18 "RC1" 15 "d" "3" "खरीदा_था" "RCVerb" 797 0 -1 1 -1 -1 6.68085467879022
"12262" 18 "RC1" 9 "b" "4" "काटी_थी" "RCVerb" 1265 -1 0 -1 -1 1 7.14282740116162
"12281" 18 "RC1" 2 "c" "4" "खाया_था," "RCVerb" 594 0 1 1 1 1 6.38687931936265
"12359" 18 "RC1" 5 "b" "3" "खरीदी_थी" "RCVerb" 547 -1 0 -1 -1 1 6.30444880242198
"12405" 18 "RC1" 3 "d" "3" "चुना_था" "RCVerb" 719 0 -1 1 -1 -1 6.57786135772105
"12461" 18 "RC1" 20 "a" "4" "बनायी_थी," "RCVerb" 828 1 0 -1 1 -1 6.71901315438526
"12546" 18 "RC1" 14 "c" "4" "खरीदा_था," "RCVerb" 546 0 1 1 1 1 6.30261897574491
"12573" 18 "RC1" 6 "c" "4" "गाया_था," "RCVerb" 859 0 1 1 1 1 6.75576892198425
"12781" 19 "RC1" 20 "b" "3" "बनायी_थी" "RCVerb" 2704 -1 0 -1 -1 1 7.90248743716286
"12800" 19 "RC1" 14 "d" "3" "खरीदा_था" "RCVerb" 922 0 -1 1 -1 -1 6.82654522355659
"12833" 19 "RC1" 10 "d" "3" "मांगा_था" "RCVerb" 1031 0 -1 1 -1 -1 6.93828448401696
"12850" 19 "RC1" 18 "d" "3" "खरीदा_था" "RCVerb" 734 0 -1 1 -1 -1 6.59850902861452
"12893" 19 "RC1" 22 "d" "3" "पकड़ा_था" "RCVerb" 969 0 -1 1 -1 -1 6.87626461189077
"12913" 19 "RC1" 1 "c" "4" "पढ़ा_था," "RCVerb" 1187 0 1 1 1 1 7.07918439460967
"13012" 19 "RC1" 13 "c" "4" "सुलझाया_था," "RCVerb" 422 0 1 1 1 1 6.04500531403601
"13041" 19 "RC1" 12 "b" "5" "दिखायी_थी" "RCVerb" 531 -1 0 -1 -1 1 6.27476202124194
"13098" 19 "RC1" 11 "a" "4" "बनायी_थी," "RCVerb" 1000 1 0 -1 1 -1 6.90775527898214
"13181" 19 "RC1" 4 "b" "3" "खायी_थी" "RCVerb" 1359 -1 0 -1 -1 1 7.21450441415114
"13212" 19 "RC1" 5 "c" "4" "खरीदा_था," "RCVerb" 641 0 1 1 1 1 6.46302945692067
"13240" 19 "RC1" 8 "b" "3" "रखी_थी" "RCVerb" 516 -1 0 -1 -1 1 6.24610676548156
"13374" 19 "RC1" 17 "c" "4" "पहना_हुआ_था," "RCVerb" 1609 0 1 1 1 1 7.38336814699238
"13401" 19 "RC1" 21 "c" "5" "उठाया_था," "RCVerb" 1094 0 1 1 1 1 6.99759598298193
"13440" 19 "RC1" 6 "d" "3" "गाया_था" "RCVerb" 3032 0 -1 1 -1 -1 8.01697774676226
"13506" 19 "RC1" 2 "d" "3" "खाया_था" "RCVerb" 1000 0 -1 1 -1 -1 6.90775527898214
"13559" 19 "RC1" 24 "b" "4" "बेचीं_थीं" "RCVerb" 625 -1 0 -1 -1 1 6.4377516497364
"13652" 19 "RC1" 7 "a" "4" "साफ_की_थी," "RCVerb" 1281 1 0 -1 1 -1 7.15539630189673
"13687" 19 "RC1" 19 "a" "4" "फेकीं_थीं," "RCVerb" 484 1 0 -1 1 -1 6.18208490671663
"13747" 19 "RC1" 23 "a" "4" "उठा_ली_थी," "RCVerb" 1125 1 0 -1 1 -1 7.02553831463852
"13801" 19 "RC1" 16 "b" "4" "खोली_थी" "RCVerb" 1593 -1 0 -1 -1 1 7.37337430991005
"13817" 19 "RC1" 9 "c" "5" "काटा_था," "RCVerb" 516 0 1 1 1 1 6.24610676548156
"13869" 19 "RC1" 3 "a" "4" "चुनी_थीं," "RCVerb" 407 1 0 -1 1 -1 6.00881318544259
"13906" 19 "RC1" 15 "a" "4" "खरीदी_थी," "RCVerb" 469 1 0 -1 1 -1 6.15060276844628
"13986" 2 "RC1" 3 "d" "3" "चुना_था" "RCVerb" 922 0 -1 1 -1 -1 6.82654522355659
"14041" 2 "RC1" 4 "a" "4" "खायी_थी," "RCVerb" 703 1 0 -1 1 -1 6.55535689181067
"14100" 2 "RC1" 5 "b" "3" "खरीदी_थी" "RCVerb" 2531 -1 0 -1 -1 1 7.83636976054512
"14130" 2 "RC1" 21 "b" "4" "उठायीं_थीं" "RCVerb" 1313 -1 0 -1 -1 1 7.1800698743028
"14176" 2 "RC1" 1 "b" "3" "पढ़ी_थी" "RCVerb" 609 -1 0 -1 -1 1 6.4118182677099
"14192" 2 "RC1" 8 "a" "4" "रखी_थी," "RCVerb" 2594 1 0 -1 1 -1 7.86095636487639
"14224" 2 "RC1" 14 "c" "4" "खरीदा_था," "RCVerb" 578 0 1 1 1 1 6.35957386867238
"14304" 2 "RC1" 12 "a" "6" "दिखायी_थी," "RCVerb" 609 1 0 -1 1 -1 6.4118182677099
"14358" 2 "RC1" 17 "b" "3" "पहनी_हुई_थी" "RCVerb" 469 -1 0 -1 -1 1 6.15060276844628
"14424" 2 "RC1" 2 "c" "4" "खाया_था," "RCVerb" 1219 0 1 1 1 1 7.10578612948127
"14452" 2 "RC1" 6 "c" "4" "गाया_था," "RCVerb" 781 0 1 1 1 1 6.66057514983969
"14476" 2 "RC1" 22 "c" "4" "पकड़ा_था," "RCVerb" 1453 0 1 1 1 1 7.28138566357028
"14513" 2 "RC1" 10 "c" "4" "मांगा_था," "RCVerb" 1860 0 1 1 1 1 7.52833176670725
"14527" 2 "RC1" 18 "c" "4" "खरीदा_था," "RCVerb" 563 0 1 1 1 1 6.33327962813969
"14557" 2 "RC1" 7 "d" "3" "साफ_किया_था" "RCVerb" 766 0 -1 1 -1 -1 6.64118216974059
"14681" 2 "RC1" 13 "b" "3" "सुलझाई_थी" "RCVerb" 766 -1 0 -1 -1 1 6.64118216974059
"14769" 2 "RC1" 15 "d" "3" "खरीदा_था" "RCVerb" 734 0 -1 1 -1 -1 6.59850902861452
"14808" 2 "RC1" 19 "d" "3" "फेका_था" "RCVerb" 843 0 -1 1 -1 -1 6.73696695800186
"14935" 2 "RC1" 9 "b" "4" "काटी_थी" "RCVerb" 922 -1 0 -1 -1 1 6.82654522355659
"14976" 2 "RC1" 20 "a" "4" "बनायी_थी," "RCVerb" 578 1 0 -1 1 -1 6.35957386867238
"15039" 2 "RC1" 24 "a" "5" "बेचीं_थीं," "RCVerb" 531 1 0 -1 1 -1 6.27476202124194
"15059" 2 "RC1" 16 "a" "5" "खोली_थी," "RCVerb" 516 1 0 -1 1 -1 6.24610676548156
"15091" 2 "RC1" 11 "d" "3" "बनाया_था" "RCVerb" 765 0 -1 1 -1 -1 6.63987583382654
"15166" 2 "RC1" 23 "d" "3" "उठा_लिया_था" "RCVerb" 438 0 -1 1 -1 -1 6.08221891037645
"15238" 20 "RC1" 11 "b" "3" "बनायी_थी" "RCVerb" 3375 -1 0 -1 -1 1 8.12415060330663
"15319" 20 "RC1" 3 "b" "3" "चुनी_थीं" "RCVerb" 2375 -1 0 -1 -1 1 7.77275271646874
"15366" 20 "RC1" 9 "d" "4" "काटा_था" "RCVerb" 610 0 -1 1 -1 -1 6.41345895716736
"15396" 20 "RC1" 6 "a" "4" "गायी_थी," "RCVerb" 1000 1 0 -1 1 -1 6.90775527898214
"15530" 20 "RC1" 2 "a" "4" "खायी_थी," "RCVerb" 2250 1 0 -1 1 -1 7.71868549519847
"15561" 20 "RC1" 1 "d" "3" "पढ़ा_था" "RCVerb" 687 0 -1 1 -1 -1 6.53233429222235
"15580" 20 "RC1" 4 "c" "4" "खाया_था," "RCVerb" 547 0 1 1 1 1 6.30444880242198
"15665" 20 "RC1" 8 "c" "4" "रखा_था," "RCVerb" 2797 0 1 1 1 1 7.93630269320196
"15684" 20 "RC1" 12 "c" "6" "दिखाया_था," "RCVerb" 625 0 1 1 1 1 6.4377516497364
"15743" 20 "RC1" 13 "d" "3" "सुलझाया_था" "RCVerb" 625 0 -1 1 -1 -1 6.4377516497364
"15817" 20 "RC1" 22 "a" "4" "पकड़ी_थी," "RCVerb" 969 1 0 -1 1 -1 6.87626461189077
"15882" 20 "RC1" 14 "a" "4" "खरीदी_थी," "RCVerb" 1359 1 0 -1 1 -1 7.21450441415114
"15932" 20 "RC1" 17 "d" "3" "पहना_हुआ_था" "RCVerb" 2953 0 -1 1 -1 -1 7.99057688174392
"15950" 20 "RC1" 10 "a" "4" "मांगी_थी," "RCVerb" 781 1 0 -1 1 -1 6.66057514983969
"15969" 20 "RC1" 23 "b" "3" "उठा_ली_थी" "RCVerb" 547 -1 0 -1 -1 1 6.30444880242198
"15996" 20 "RC1" 18 "a" "4" "खरीदी_थी," "RCVerb" 625 1 0 -1 1 -1 6.4377516497364
"16015" 20 "RC1" 16 "c" "5" "खोला_था," "RCVerb" 812 0 1 1 1 1 6.69950034016168
"16080" 20 "RC1" 24 "c" "5" "बेचा_था," "RCVerb" 719 0 1 1 1 1 6.57786135772105
"16148" 20 "RC1" 21 "d" "4" "उठाया_था" "RCVerb" 1250 0 -1 1 -1 -1 7.13089883029635
"16237" 20 "RC1" 20 "c" "4" "बनाया_था," "RCVerb" 407 0 1 1 1 1 6.00881318544259
"16263" 20 "RC1" 15 "b" "3" "खरीदी_थी" "RCVerb" 546 -1 0 -1 -1 1 6.30261897574491
"16331" 20 "RC1" 5 "d" "3" "खरीदा_था" "RCVerb" 641 0 -1 1 -1 -1 6.46302945692067
"16400" 20 "RC1" 7 "b" "3" "साफ_की_थी" "RCVerb" 609 -1 0 -1 -1 1 6.4118182677099
"16418" 20 "RC1" 19 "b" "3" "फेकीं_थीं" "RCVerb" 1375 -1 0 -1 -1 1 7.22620901010067
"16640" 21 "RC1" 6 "b" "3" "गायी_थी" "RCVerb" 1735 -1 0 -1 -1 1 7.45876269238096
"16681" 21 "RC1" 21 "a" "5" "उठायीं_थीं," "RCVerb" 766 1 0 -1 1 -1 6.64118216974059
"16710" 21 "RC1" 2 "b" "3" "खायी_थी" "RCVerb" 2531 -1 0 -1 -1 1 7.83636976054512
"16816" 21 "RC1" 20 "d" "3" "बनाया_था" "RCVerb" 625 0 -1 1 -1 -1 6.4377516497364
"16884" 21 "RC1" 16 "d" "4" "खोला_था" "RCVerb" 718 0 -1 1 -1 -1 6.57646956904822
"16911" 21 "RC1" 11 "c" "4" "बनाया_था," "RCVerb" 547 0 1 1 1 1 6.30444880242198
"16929" 21 "RC1" 12 "d" "5" "दिखाया_था" "RCVerb" 1359 0 -1 1 -1 -1 7.21450441415114
"16964" 21 "RC1" 17 "a" "4" "पहनी_हुई_थी," "RCVerb" 719 1 0 -1 1 -1 6.57786135772105
"17014" 21 "RC1" 3 "c" "4" "चुना_था," "RCVerb" 875 0 1 1 1 1 6.77422388635761
"17034" 21 "RC1" 22 "b" "3" "पकड़ी_थी" "RCVerb" 1000 -1 0 -1 -1 1 6.90775527898214
"17103" 21 "RC1" 23 "c" "4" "उठा_लिया_था," "RCVerb" 672 0 1 1 1 1 6.51025834052315
"17151" 21 "RC1" 10 "b" "3" "मांगी_थी" "RCVerb" 797 -1 0 -1 -1 1 6.68085467879022
"17173" 21 "RC1" 8 "d" "3" "रखा_था" "RCVerb" 1016 0 -1 1 -1 -1 6.92362862813843
"17189" 21 "RC1" 5 "a" "4" "खरीदी_थी," "RCVerb" 516 1 0 -1 1 -1 6.24610676548156
"17217" 21 "RC1" 1 "a" "4" "पढ़ी_थी," "RCVerb" 704 1 0 -1 1 -1 6.55677835615804
"17280" 21 "RC1" 9 "a" "5" "काटी_थी," "RCVerb" 719 1 0 -1 1 -1 6.57786135772105
"17325" 21 "RC1" 15 "c" "4" "खरीदा_था," "RCVerb" 516 0 1 1 1 1 6.24610676548156
"17342" 21 "RC1" 7 "c" "4" "साफ_किया_था," "RCVerb" 1562 0 1 1 1 1 7.35372233039963
"17379" 21 "RC1" 4 "d" "3" "खाया_था" "RCVerb" 891 0 -1 1 -1 -1 6.79234442747081
"17397" 21 "RC1" 14 "b" "3" "खरीदी_थी" "RCVerb" 1485 -1 0 -1 -1 1 7.3031700512368
"17436" 21 "RC1" 24 "d" "4" "बेचा_था" "RCVerb" 1203 0 -1 1 -1 -1 7.09257371597468
"17471" 21 "RC1" 13 "a" "4" "सुलझाई_थी," "RCVerb" 547 1 0 -1 1 -1 6.30444880242198
"17523" 21 "RC1" 19 "c" "4" "फेका_था," "RCVerb" 1593 0 1 1 1 1 7.37337430991005
"17584" 21 "RC1" 18 "b" "3" "खरीदी_थी" "RCVerb" 531 -1 0 -1 -1 1 6.27476202124194
"17796" 22 "RC1" 2 "c" "4" "खाया_था," "RCVerb" 485 0 1 1 1 1 6.18414889093748
"17824" 22 "RC1" 12 "a" "6" "दिखायी_थी," "RCVerb" 609 1 0 -1 1 -1 6.4118182677099
"17859" 22 "RC1" 8 "a" "4" "रखी_थी," "RCVerb" 797 1 0 -1 1 -1 6.68085467879022
"17875" 22 "RC1" 5 "b" "3" "खरीदी_थी" "RCVerb" 593 -1 0 -1 -1 1 6.38519439899773
"17958" 22 "RC1" 21 "b" "4" "उठायीं_थीं" "RCVerb" 484 -1 0 -1 -1 1 6.18208490671663
"18070" 22 "RC1" 13 "b" "3" "सुलझाई_थी" "RCVerb" 531 -1 0 -1 -1 1 6.27476202124194
"18089" 22 "RC1" 22 "c" "4" "पकड़ा_था," "RCVerb" 2594 0 1 1 1 1 7.86095636487639
"18110" 22 "RC1" 11 "d" "3" "बनाया_था" "RCVerb" 625 0 -1 1 -1 -1 6.4377516497364
"18245" 22 "RC1" 4 "a" "4" "खायी_थी," "RCVerb" 547 1 0 -1 1 -1 6.30444880242198
"18276" 22 "RC1" 16 "a" "5" "खोली_थी," "RCVerb" 547 1 0 -1 1 -1 6.30444880242198
"18378" 22 "RC1" 19 "d" "3" "फेका_था" "RCVerb" 1000 0 -1 1 -1 -1 6.90775527898214
"18396" 22 "RC1" 20 "a" "4" "बनायी_थी," "RCVerb" 469 1 0 -1 1 -1 6.15060276844628
"18447" 22 "RC1" 1 "b" "3" "पढ़ी_थी" "RCVerb" 672 -1 0 -1 -1 1 6.51025834052315
"18518" 22 "RC1" 15 "d" "3" "खरीदा_था" "RCVerb" 1359 0 -1 1 -1 -1 7.21450441415114
"18537" 22 "RC1" 14 "c" "4" "खरीदा_था," "RCVerb" 687 0 1 1 1 1 6.53233429222235
"18584" 22 "RC1" 6 "c" "4" "गाया_था," "RCVerb" 1187 0 1 1 1 1 7.07918439460967
"18635" 22 "RC1" 3 "d" "3" "चुना_था" "RCVerb" 672 0 -1 1 -1 -1 6.51025834052315
"18702" 22 "RC1" 17 "b" "3" "पहनी_हुई_थी" "RCVerb" 1188 -1 0 -1 -1 1 7.08002649992259
"18755" 22 "RC1" 24 "a" "5" "बेचीं_थीं," "RCVerb" 578 1 0 -1 1 -1 6.35957386867238
"18829" 22 "RC1" 7 "d" "3" "साफ_किया_था" "RCVerb" 609 0 -1 1 -1 -1 6.4118182677099
"18884" 22 "RC1" 23 "d" "3" "उठा_लिया_था" "RCVerb" 578 0 -1 1 -1 -1 6.35957386867238
"18916" 22 "RC1" 10 "c" "4" "मांगा_था," "RCVerb" 954 0 1 1 1 1 6.86066367144829
"18937" 22 "RC1" 18 "c" "4" "खरीदा_था," "RCVerb" 922 0 1 1 1 1 6.82654522355659
"18956" 22 "RC1" 9 "b" "4" "काटी_थी" "RCVerb" 547 -1 0 -1 -1 1 6.30444880242198
"19058" 23 "RC1" 21 "c" "5" "उठाया_था," "RCVerb" 453 0 1 1 1 1 6.11589212548303
"19077" 23 "RC1" 22 "d" "3" "पकड़ा_था" "RCVerb" 500 0 -1 1 -1 -1 6.21460809842219
"19096" 23 "RC1" 9 "c" "5" "काटा_था," "RCVerb" 406 0 1 1 1 1 6.00635315960173
"19156" 23 "RC1" 11 "a" "4" "बनायी_थी," "RCVerb" 2047 1 0 -1 1 -1 7.62413058566129
"19211" 23 "RC1" 12 "b" "5" "दिखायी_थी" "RCVerb" 625 -1 0 -1 -1 1 6.4377516497364
"19234" 23 "RC1" 15 "a" "4" "खरीदी_थी," "RCVerb" 797 1 0 -1 1 -1 6.68085467879022
"19407" 23 "RC1" 16 "b" "4" "खोली_थी" "RCVerb" 360 -1 0 -1 -1 1 5.88610403145016
"19439" 23 "RC1" 5 "c" "4" "खरीदा_था," "RCVerb" 484 0 1 1 1 1 6.18208490671663
"19453" 23 "RC1" 18 "d" "3" "खरीदा_था" "RCVerb" 344 0 -1 1 -1 -1 5.8406416573734
"19518" 23 "RC1" 20 "b" "3" "बनायी_थी" "RCVerb" 390 -1 0 -1 -1 1 5.96614673912369
"19591" 23 "RC1" 19 "a" "4" "फेकीं_थीं," "RCVerb" 359 1 0 -1 1 -1 5.88332238848828
"19617" 23 "RC1" 7 "a" "4" "साफ_की_थी," "RCVerb" 609 1 0 -1 1 -1 6.4118182677099
"19667" 23 "RC1" 8 "b" "3" "रखी_थी" "RCVerb" 406 -1 0 -1 -1 1 6.00635315960173
"19705" 23 "RC1" 3 "a" "4" "चुनी_थीं," "RCVerb" 421 1 0 -1 1 -1 6.04263283368238
"19793" 23 "RC1" 2 "d" "3" "खाया_था" "RCVerb" 344 0 -1 1 -1 -1 5.8406416573734
"19813" 23 "RC1" 24 "b" "4" "बेचीं_थीं" "RCVerb" 312 -1 0 -1 -1 1 5.74300318780948
"19868" 23 "RC1" 1 "c" "4" "पढ़ा_था," "RCVerb" 438 0 1 1 1 1 6.08221891037645
"19886" 23 "RC1" 4 "b" "3" "खायी_थी" "RCVerb" 454 -1 0 -1 -1 1 6.11809719804135
"19961" 23 "RC1" 6 "d" "3" "गाया_था" "RCVerb" 422 0 -1 1 -1 -1 6.04500531403601
"19986" 23 "RC1" 14 "d" "3" "खरीदा_था" "RCVerb" 406 0 -1 1 -1 -1 6.00635315960173
"20014" 23 "RC1" 10 "d" "3" "मांगा_था" "RCVerb" 500 0 -1 1 -1 -1 6.21460809842219
"20121" 23 "RC1" 23 "a" "4" "उठा_ली_थी," "RCVerb" 391 1 0 -1 1 -1 5.96870755998537
"20142" 23 "RC1" 17 "c" "4" "पहना_हुआ_था," "RCVerb" 578 0 1 1 1 1 6.35957386867238
"20157" 23 "RC1" 13 "c" "4" "सुलझाया_था," "RCVerb" 391 0 1 1 1 1 5.96870755998537
"20341" 24 "RC1" 4 "c" "4" "खाया_था," "RCVerb" 891 0 1 1 1 1 6.79234442747081
"20485" 24 "RC1" 2 "a" "4" "खायी_थी," "RCVerb" 1016 1 0 -1 1 -1 6.92362862813843
"20510" 24 "RC1" 21 "d" "4" "उठाया_था" "RCVerb" 1078 0 -1 1 -1 -1 6.98286275146894
"20682" 24 "RC1" 14 "a" "4" "खरीदी_थी," "RCVerb" 1094 1 0 -1 1 -1 6.99759598298193
"20698" 24 "RC1" 1 "d" "3" "पढ़ा_था" "RCVerb" 1391 0 -1 1 -1 -1 7.23777819192344
"20745" 24 "RC1" 3 "b" "3" "चुनी_थीं" "RCVerb" 1531 -1 0 -1 -1 1 7.33367639565768
"20764" 24 "RC1" 23 "b" "3" "उठा_ली_थी" "RCVerb" 1468 -1 0 -1 -1 1 7.29165620917446
"20818" 24 "RC1" 15 "b" "3" "खरीदी_थी" "RCVerb" 1047 -1 0 -1 -1 1 6.95368421087054
"20848" 24 "RC1" 18 "a" "4" "खरीदी_थी," "RCVerb" 765 1 0 -1 1 -1 6.63987583382654
"20891" 24 "RC1" 6 "a" "4" "गायी_थी," "RCVerb" 797 1 0 -1 1 -1 6.68085467879022
"20989" 24 "RC1" 13 "d" "3" "सुलझाया_था" "RCVerb" 813 0 -1 1 -1 -1 6.70073110954781
"21050" 24 "RC1" 7 "b" "3" "साफ_की_थी" "RCVerb" 1062 -1 0 -1 -1 1 6.96790920180188
"21107" 24 "RC1" 16 "c" "5" "खोला_था," "RCVerb" 1000 0 1 1 1 1 6.90775527898214
"21125" 24 "RC1" 17 "d" "3" "पहना_हुआ_था" "RCVerb" 1125 0 -1 1 -1 -1 7.02553831463852
"21157" 24 "RC1" 10 "a" "4" "मांगी_थी," "RCVerb" 984 1 0 -1 1 -1 6.89162589705225
"21204" 24 "RC1" 5 "d" "3" "खरीदा_था" "RCVerb" 1562 0 -1 1 -1 -1 7.35372233039963
"21295" 24 "RC1" 12 "c" "6" "दिखाया_था," "RCVerb" 625 0 1 1 1 1 6.4377516497364
"21329" 24 "RC1" 11 "b" "3" "बनायी_थी" "RCVerb" 781 -1 0 -1 -1 1 6.66057514983969
"21348" 24 "RC1" 20 "c" "4" "बनाया_था," "RCVerb" 1343 0 1 1 1 1 7.20266119652324
"21367" 24 "RC1" 24 "c" "5" "बेचा_था," "RCVerb" 781 0 1 1 1 1 6.66057514983969
"21384" 24 "RC1" 22 "a" "4" "पकड़ी_थी," "RCVerb" 875 1 0 -1 1 -1 6.77422388635761
"21415" 24 "RC1" 8 "c" "4" "रखा_था," "RCVerb" 891 0 1 1 1 1 6.79234442747081
"21458" 24 "RC1" 19 "b" "3" "फेकीं_थीं" "RCVerb" 813 -1 0 -1 -1 1 6.70073110954781
"21473" 24 "RC1" 9 "d" "4" "काटा_था" "RCVerb" 969 0 -1 1 -1 -1 6.87626461189077
"21589" 25 "RC1" 9 "a" "5" "काटी_थी," "RCVerb" 1625 1 0 -1 1 -1 7.39326309476384
"21613" 25 "RC1" 17 "a" "4" "पहनी_हुई_थी," "RCVerb" 828 1 0 -1 1 -1 6.71901315438526
"21665" 25 "RC1" 14 "b" "3" "खरीदी_थी" "RCVerb" 5578 -1 0 -1 -1 1 8.62658556818743
"21681" 25 "RC1" 10 "b" "3" "मांगी_थी" "RCVerb" 735 -1 0 -1 -1 1 6.59987049921284
"21732" 25 "RC1" 15 "c" "4" "खरीदा_था," "RCVerb" 500 0 1 1 1 1 6.21460809842219
"21751" 25 "RC1" 7 "c" "4" "साफ_किया_था," "RCVerb" 937 0 1 1 1 1 6.84268328223842
"21816" 25 "RC1" 8 "d" "3" "रखा_था" "RCVerb" 469 0 -1 1 -1 -1 6.15060276844628
"21918" 25 "RC1" 2 "b" "3" "खायी_थी" "RCVerb" 484 -1 0 -1 -1 1 6.18208490671663
"21934" 25 "RC1" 24 "d" "4" "बेचा_था" "RCVerb" 641 0 -1 1 -1 -1 6.46302945692067
"21973" 25 "RC1" 5 "a" "4" "खरीदी_थी," "RCVerb" 437 1 0 -1 1 -1 6.07993319509559
"22121" 25 "RC1" 21 "a" "5" "उठायीं_थीं," "RCVerb" 390 1 0 -1 1 -1 5.96614673912369
"22174" 25 "RC1" 12 "d" "5" "दिखाया_था" "RCVerb" 375 0 -1 1 -1 -1 5.92692602597041
"22215" 25 "RC1" 11 "c" "4" "बनाया_था," "RCVerb" 437 0 1 1 1 1 6.07993319509559
"22254" 25 "RC1" 20 "d" "3" "बनाया_था" "RCVerb" 407 0 -1 1 -1 -1 6.00881318544259
"22282" 25 "RC1" 3 "c" "4" "चुना_था," "RCVerb" 766 0 1 1 1 1 6.64118216974059
"22322" 25 "RC1" 1 "a" "4" "पढ़ी_थी," "RCVerb" 422 1 0 -1 1 -1 6.04500531403601
"22416" 25 "RC1" 19 "c" "4" "फेका_था," "RCVerb" 922 0 1 1 1 1 6.82654522355659
"22483" 25 "RC1" 23 "c" "4" "उठा_लिया_था," "RCVerb" 421 0 1 1 1 1 6.04263283368238
"22501" 25 "RC1" 4 "d" "3" "खाया_था" "RCVerb" 359 0 -1 1 -1 -1 5.88332238848828
"22544" 25 "RC1" 13 "a" "4" "सुलझाई_थी," "RCVerb" 375 1 0 -1 1 -1 5.92692602597041
"22584" 25 "RC1" 18 "b" "3" "खरीदी_थी" "RCVerb" 344 -1 0 -1 -1 1 5.8406416573734
"22602" 25 "RC1" 6 "b" "3" "गायी_थी" "RCVerb" 390 -1 0 -1 -1 1 5.96614673912369
"22638" 25 "RC1" 22 "b" "3" "पकड़ी_थी" "RCVerb" 453 -1 0 -1 -1 1 6.11589212548303
"22710" 25 "RC1" 16 "d" "4" "खोला_था" "RCVerb" 296 0 -1 1 -1 -1 5.69035945432406
"22894" 26 "RC1" 23 "d" "3" "उठा_लिया_था" "RCVerb" 1078 0 -1 1 -1 -1 6.98286275146894
"22957" 26 "RC1" 12 "a" "6" "दिखायी_थी," "RCVerb" 531 1 0 -1 1 -1 6.27476202124194
"23003" 26 "RC1" 14 "c" "4" "खरीदा_था," "RCVerb" 453 0 1 1 1 1 6.11589212548303
"23034" 26 "RC1" 11 "d" "3" "बनाया_था" "RCVerb" 453 0 -1 1 -1 -1 6.11589212548303
"23057" 26 "RC1" 3 "d" "3" "चुना_था" "RCVerb" 421 0 -1 1 -1 -1 6.04263283368238
"23078" 26 "RC1" 5 "b" "3" "खरीदी_थी" "RCVerb" 437 -1 0 -1 -1 1 6.07993319509559
"23145" 26 "RC1" 2 "c" "4" "खाया_था," "RCVerb" 375 0 1 1 1 1 5.92692602597041
"23231" 26 "RC1" 21 "b" "4" "उठायीं_थीं" "RCVerb" 484 -1 0 -1 -1 1 6.18208490671663
"23345" 26 "RC1" 1 "b" "3" "पढ़ी_थी" "RCVerb" 359 -1 0 -1 -1 1 5.88332238848828
"23375" 26 "RC1" 4 "a" "4" "खायी_थी," "RCVerb" 359 1 0 -1 1 -1 5.88332238848828
"23403" 26 "RC1" 17 "b" "3" "पहनी_हुई_थी" "RCVerb" 422 -1 0 -1 -1 1 6.04500531403601
"23435" 26 "RC1" 19 "d" "3" "फेका_था" "RCVerb" 344 0 -1 1 -1 -1 5.8406416573734
"23500" 26 "RC1" 24 "a" "5" "बेचीं_थीं," "RCVerb" 406 1 0 -1 1 -1 6.00635315960173
"23529" 26 "RC1" 16 "a" "5" "खोली_थी," "RCVerb" 391 1 0 -1 1 -1 5.96870755998537
